Timestamp,"How many times have you used PingPong, approximately? ",Why have you chatted with PingPong less than 5 times?,"Would you use PingPong more if it were different? 

If not, why not? If yes, what would need to change about PingPong for you to use it more? ","If you wanted to learn more about a statistical concept, would you prefer to use PingPong or another LLM?","Please elaborate on your response to the previous question. 

If you prefer one LLM over another, why? If you are indifferent, why? ","If course staff were not available, what percentage of your questions could PingPong fully answer? ","What improvements or changes to PingPong would you like to see implemented? 

For example, do you find any features of PingPong frustrating or confusing? If yes, how would you improve those features?","Do you think PingPong has any notable strengths relative to other LLMs like ChatGPT, Gemini, or Claude? 

If yes, which features do you think are the most impactful?","Without access to LLMs, I would attend STAT 131A office hours...","Without LLMs, do you think your understanding of the STAT 131A material would be different? 

If yes, why do you think your understanding would be different? If not, why do you think your understanding would be the same?","Without LLMs, do you think your homework and exam grades in STAT 131A would be different? 

If yes, why do you think your grades would be different? If not, why do you think your grades would be the same?","Which of the following would you prefer?

1. Programming+statistics courses allow students to use any LLM for homework help.

2. Programming+statistics courses only allow customized chatbots, similar to PingPong.

3. Programming+statistics courses do not allow students to use any LLM.
",Please elaborate on your response to the previous question. Why do you prefer your chosen option?,"What concerns, if any, do you have about AI in education? Has PingPong changed your perspective at all? 

For example, are you scared that LLMs may replace human tutors, interpersonal interaction, or office hours? On the other hand, are you optimistic about the future of AI in education?",Which of these classes did you complete before taking STAT 131A? ,"What is (are) your major(s)? 

Please separate majors with commas. ","What is (are) your minor(s)? 

Please separate minors with commas. "
12/2/2024 14:30,25+ chats,,,I would prefer to use PingPong,ping pong knew what the hw assignments were and could help guide me without giving direct answers ,50%-75%,"sometimes i would ask a direct question, like a formula, or syntax question in r and it would take a while to answer my question",it has knowledge of what our assignments are so it can have more personalized help,A little more often,"yes, i think i would be worse off b/c i can use the llms to make sure my understanding of lecture material is correct and can ask more more guidence and practice problems","yes they would be much much more difficult, especially on hw assignments where i am a bit more unfamiliar with r",2. Only customized chatbots,i think chatbots have become so normalized in everyday life that trying to completley ban them would be useless but using customized ones can more so ensure that i am still learning but with the appropriate help,"i am a little be hesistant in how much we have began to over-rely on ai on trivial assignments, especially writing assignments where we are loosing skills that would normally be relied on every day","Data 8, Data 88S (or other Probability Theory), CS61A/Data C88C (or other Programming)",Molecular and Cell Biology,Data Science
12/2/2024 14:31,5-10 chats,,,"I would prefer to use another LLM (e.g., ChatGPT, Gemini, or Claude)",Just familiarity and prior introduction to it. ,25%-50%,More accessible to UC Berkeley students outside of the Stats department. ,"Yes, currently growing and changing as we use it. Very centered around UC Berkeley education. ",A little more often,PingPong and LLMs definitely contribute to a higher percentage of my learning since its introduction. ,"Yes, would take me a lot more time to complete but also would be more ingrained within my knowledge. ",1. All LLMs allowed,There are different LLMs built for different purposes. Some are strong in answering more broad or vague topics. ,"I feel like I lost my sense of studying, really paying attention to what content my professor provides, and relying on LLM and AI too much that there are no more limits and love for education anymore. ","Data 8, Stat 20, Data 88S (or other Probability Theory), CS61A/Data C88C (or other Programming)","Economics, Data Science ",
12/2/2024 14:45,25+ chats,,,I would prefer to use PingPong,Ping Pong is the only LLM I’ve ever used. I like how it’s almost like a teacher and can give concise answers quickly. I also feel like it just knows the material that I’m learning better and doesn’t just spit out information but works with me to make sure I fully understand.,50%-75%,Sometimes when it leaves the blanks in the code I find it frustrating because I want to see an example fully filled out in order to effectively solve my problem. But I’ve learned you can just ask ping pong for further examples and it’s able to answer.,I’m not too familiar with other LLMs,About as much as I do now,Yes definitely. Sometimes when I have a question or a problem it’s frustrating to have to  dig through material and notes to find the answer and in the end I just get overwhelmed and make a mental note to ask in office hours. However ping pong gave me exactly the answers I was looking for and quickly to be able to work through problems I had on my homework. ,Not necessarily.,2. Only customized chatbots,I think allowing students to use any LLM won’t be helping anyone. It would probably result in them not doing any of the work themselves. But customized ones like ping pong can act almost like a personal tutor and a great tool when not in class or office hours and need quick reminders on code or explanations of concepts. ,"AI can be a vital tool to learning, but if it’s used and abused in a way to check off boxes and just get work done that’s when we are headed into trouble. Classes need to be structured in a way where AI is used to aid rather than the be the answer key, it’s tricky but I think stat 131a did a great job at not allowing AI to plug and chug for students. We were able to grapple with these tough concepts and use ping pong to deepen our understanding.","Data 8, Data 88S (or other Probability Theory), CS61A/Data C88C (or other Programming)",Economics ,Data Science 
12/2/2024 16:19,25+ chats,,,I am indifferent,"For this class I got used to using Ping Pong, but in general its more of an habit of mine to use ChatGPT.",25%-50%,,,,,,,,,"Stat 20, CS61A/Data C88C (or other Programming)",Economics ,Data Science
12/2/2024 16:24,5-10 chats,,,"I would prefer to use another LLM (e.g., ChatGPT, Gemini, or Claude)","At the same time that Ping Pong helps us look for the answers ourselves, I often find it to be not that helpful when we have simple questions (like, what's the diff between mean and median).",0%-25%,"For simple/definitions questions, I wish PingPong would print out the answer instead of quizzing us in similar topics.",I do appreciate how it will try to guide you through the answer without giving it to you,About as much as I do now,No,No,2. Only customized chatbots,"I wouldn't say all because we're not sure if all are beneficial to learning but I also wouldn't say no because if students don't have LLMs allowed for a class, they could be forced to turn into other platforms (such as chatgpt) in order to get the support necessary.",I don't think AI could ever replace the 1-1 interaction we have with professors and course staff in terms of connection and networking,"Data 8, CS61A/Data C88C (or other Programming), Stat 133",Psychology,Data Science
12/2/2024 16:56,10-25 chats,,,I would prefer to use PingPong,It was tailored more to the course than another LLM,50%-75%,,More guided explanations rather than answers,About as much as I do now,"Yes, homeworks would be really dificult","Yes, i would have been stuck a lot",2. Only customized chatbots,This makes it so people can't just look up the answers but encourages understanding,,"Data 8, Data 88S (or other Probability Theory), Stat 133",Business,Data Science
12/2/2024 23:25,Less than 5 chats,,,,,,,,About as much as I do now,,,2. Only customized chatbots,,,"Data 8, Data 88S (or other Probability Theory), CS61A/Data C88C (or other Programming), Stat 133",Molecular and Cell Biology,Data Science
12/3/2024 9:43,Less than 5 chats,"I have not needed help from an LLM in STAT 131A, BUT I use LLMs for help in other classes",,,,,,,About as much as I do now,,,1. All LLMs allowed,,,"Data 8, CS61A/Data C88C (or other Programming)",,
12/3/2024 14:11,10-25 chats,,,"I would prefer to use another LLM (e.g., ChatGPT, Gemini, or Claude)",Other LLM's feel more efficient. They give the answer clearly and concisely better than PingPong,75%-100%,It was fine as is,Nothing super notable but quality service overall,A lot more often,No,"Yes, LLMs help me navigate through questions I have with the material",1. All LLMs allowed,"LLMs can't help a student take the test, but it's very helpful using it to study",No concerns ,"Data 8, Stat 20, Data 88S (or other Probability Theory), CS61A/Data C88C (or other Programming), Stat 133",Economics,Data Science
12/4/2024 14:14,10-25 chats,,,I would prefer to use PingPong,I prefer ping pong. It breaks down concepts and helps super well,50%-75%,Maybe if ping pong answered keeping earlier chats in mind ,Very good at helps generating skeletal code ,A little more often,Yes because I’m very anxious and probably would not go and ask some questions ,Yes. Helps me understand so much more and breaks down super simple concepts in laymen terms ,1. All LLMs allowed,People have different preferences and opening it up to any LLMs would allow us to navigate content with xomdoet,,"Data 8, Data 88S (or other Probability Theory)",Molecular and Cell Biology,Data science 
12/4/2024 18:08,10-25 chats,,,I am indifferent,"I like how PingPong was customized to the class. However, ChatGPT is able to do more.",50%-75%,"I liked it, but it was a little slow at times.",,About as much as I do now,"No, I think LLMs have assisted my learning of the class material.",I think I would do worse on the homework without the assistance of the LLMs. PingPong has helped me save time and improve my grades.,1. All LLMs allowed,"I think that it is available and will continue to be available and grow. So, we should learn how to utilize these methods of understanding.","If used properly, I don't have many major concerns. I think that it can be properly incorporated into learning systems in schools.","Data 8, Stat 20, Data 88S (or other Probability Theory), CS61A/Data C88C (or other Programming)",Economics,Data Science
12/6/2024 11:02,Less than 5 chats,I prefer NOT to use LLMs for help with ANY of my coursework,,,,,,,About as much as I do now,"No, as I do not use Ping Pong","No, as I do not use Ping Poing",2. Only customized chatbots,Allows for more productive help (encouraging critical thinking by a custom bot vs. any LLM giving the answer immediately -> discourages independent thinking).,"AI has the power to make education more accessible to a much larger population of people. In this regard it is quite helpful, as a larger number of students + students with disabilities that limit their access to in-person interactions can get 1-on-1 help. However, this help likely will not be as high quality as actual help from an educated human thinker, who is able to form new ideas and think critically (whereas LLMs are only following patterns and repeating information in different ways). Still, simple guidance from an LLM can be helpful in the case of tutoring, where expertise in the field might not be required from a tutor in that context. However, I am worried that LLMs do more harm than good in education as they are used not as a helping tool but as a shortcut by many students. It takes a lot of self-discipline to use AI in a productive way rather than just getting answers and inputting it into the homework. In the modern-day education system where students are largely rewarded for accurate results rather than critical thinking (it is much harder to test for proof of a thinking process, especially when a class is large in numbers), it is likely that many will use AI to get answers for homework assignments and even online exams. This discourages independent thinking, but also creates a false sense of trust with online sources that are not cited strongly. An LLM could very easily give an incorrect answer to a question, but present it with such confidence that the average user has little reason to doubt it, unless they are entering this interaction with the knowledge and mindset that the AI can give incorrect information and needs to be cross-checked / verified. All in all, I am worried that misuse of LLMs (not in the legal or technical sense, but rather in terms of integrity in academia) will harm the development of critical and independent thinking at the K-12 and undergraduate level of those who use it, and stunt the writing and other academic skill development of many students.","Stat 20, CS61A/Data C88C (or other Programming)",Microbial Biology,Data Science
12/6/2024 14:14,25+ chats,,,"I would prefer to use another LLM (e.g., ChatGPT, Gemini, or Claude)","The only reason I used ping pong was because it was the only LLM allowed for the class. Otherwise, I would opt for a different LLM because ping pong takes more time than chat gpt for example. Specifically when ping pong asks you to elaborate on your current understanding of the concepts before it answers the question, I’d rather just get the answer. While this is incredibly helpful for reinforcing learning, it disincentivizes using ping pong ",25%-50%,It’s frustrating when it gets things wrong or does not understand the exact concept I’m looking for an explanation on.,Ping pong is definitely way more resourceful than other LLMs as a dedicated class tutor. The conversation is more fluid in terms of exchanging knowledge.,About as much as I do now,"No, my understanding stems from the lectures, I only ever used ping pong for help on homework","Yes, I mostly used it when I was stuck on homework. But it probably won’t impact my exam grades ",1. All LLMs allowed,,,"Data 8, CS61A/Data C88C (or other Programming), Stat 133",Political science,Data Science 
12/8/2024 20:43,10-25 chats,,,"I would prefer to use another LLM (e.g., ChatGPT, Gemini, or Claude)",i think chat gpt is more helpful in the ways they answer,75%-100%,more concise answers,it doesnt give us answers but it helps us understand how to get to the answer,A lot more often,yes maybe ,im not sure i think i may have had more creative answers but im not sure they would be right,1. All LLMs allowed,people will use LLMs anyway so by allowing to everyone you unable those who dont use all LLMs to be penalised,im concern it makes me more lazy ,"Stat 20, CS61A/Data C88C (or other Programming), Stat 133",Business Administration,Data Science
